Version;Filename;LOC_touched;LOC_added;MAXLOC_added;AVGLOC_added;churn;MAX_churn;AVG_churn;Change_setsize;MAXChange_setsize;AVGChange_setsize;Buggy
4;tajo-cluster-tests/src/test/java/org/apache/tajo/TpchTestBase.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-cluster-tests/src/test/java/org/apache/tajo/TpchTestBase.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/Assert.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/Assert.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/Assert.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/Assert.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/Assert.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/BuiltinStorages.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/BuiltinStorages.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/BuiltinStorages.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/BuiltinStorages.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/BuiltinStorages.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/ConfigKey.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/ConfigKey.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/ConfigKey.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/ConfigKey.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/ConfigKey.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/ExecutionBlockId.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/ExecutionBlockId.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/ExecutionBlockId.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/ExecutionBlockId.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/ExecutionBlockId.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/OverridableConf.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/OverridableConf.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/OverridableConf.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/OverridableConf.java;9;6;5;3;3;3;1;81;72;40;no
5;tajo-common/src/main/java/org/apache/tajo/OverridableConf.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/QueryId.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/QueryId.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/QueryId.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/QueryId.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/QueryId.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/QueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/QueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/QueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/QueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/QueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/QueryVars.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/QueryVars.java;0;0;0;0;0;0;0;0;0;0;no
