Version,Filename,LOC_touched,LOC_added,MAXLOC_added,AVGLOC_added,churn,MAX_churn,AVG_churn,Change_setsize,MAXChange_setsize,AVGChange_setsize,Buggy
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Having.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/InPredicate.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Insert.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/IntervalLiteral.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/IsNullPredicate.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Join.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/JoinType.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/JsonHelper.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/JsonSerializable.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Limit.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/LiteralValue.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/NamedExpr.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/NotExpr.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/NullLiteral.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/OpType.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/PatternMatchPredicate.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Projection.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/QualifiedAsteriskExpr.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Relation.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/RelationList.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/ScalarSubQuery.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Selection.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/SetOperation.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/SetSession.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/SignedExpr.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/SimpleTableSubquery.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/Sort.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/TablePrimarySubQuery.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/TimeLiteral.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/TimeValue.java,0,0,0,0,0,0,0,0,0,0,no
5,tajo-algebra/src/main/java/org/apache/tajo/algebra/TimestampLiteral.java,0,0,0,0,0,0,0,0,0,0,no
