Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,2,0.06280406899601947,0.5,0.014157621519584709,NaiveBayes,UnderSampling,No Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.981689803733844,0.0
bookkeeper,2,0.06280406899601947,0.5,0.014157621519584709,RandomForest,UnderSampling,No Feature Selection,7.0,5.0,2084.0,23.0,0.5833333333333334,0.23333333333333334,0.9650390936652306,0.32789596501959356
bookkeeper,2,0.06280406899601947,0.5,0.014157621519584709,IBk,UnderSampling,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.06280406899601947,0.5,0.014157621519584709,NaiveBayes,UnderSampling,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.06280406899601947,0.5,0.014157621519584709,RandomForest,UnderSampling,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,IBk,SMOTE,No Feature Selection,27.0,4.0,2085.0,3.0,0.8709677419354839,0.9,0.9986676240625498,0.8835705146822175
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,NaiveBayes,SMOTE,No Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.998324557204404,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,RandomForest,SMOTE,No Feature Selection,7.0,2.0,2087.0,23.0,0.7777777777777778,0.23333333333333334,0.9968565501835008,0.35475816372516666
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,IBk,SMOTE,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,NaiveBayes,SMOTE,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,RandomForest,SMOTE,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,IBk,OverSampling,No Feature Selection,27.0,7.0,2082.0,3.0,0.7941176470588235,0.9,0.9912238710706878,0.8413637180331812
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,NaiveBayes,OverSampling,No Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.9970161161640338,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,RandomForest,OverSampling,No Feature Selection,7.0,5.0,2084.0,23.0,0.5833333333333334,0.23333333333333334,0.982503590234562,0.32789596501959356
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,IBk,OverSampling,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,NaiveBayes,OverSampling,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,2,0.797283076628719,0.5,0.014157621519584709,RandomForest,OverSampling,Feature Selection,0.0,0.0,2089.0,30.0,0.0,0.0,0.5,0.0
bookkeeper,3,0.75,0.015887997483089507,0.008494572911750826,IBk,No Sampling,No Feature Selection,5.0,25.0,2076.0,13.0,0.16666666666666666,0.2777777777777778,0.6329393410545243,0.19983702997058525
