Version;Filename;LOC_Added;LOC_deleted;Set_size;Author
4;tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogService.java;2;2;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-drivers/tajo-hcatalog/src/main/java/org/apache/tajo/catalog/store/HCatalogStore.java;1;1;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-drivers/tajo-hcatalog/src/main/java/org/apache/tajo/catalog/store/HCatalogUtil.java;1;1;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/AbstractDBStore.java;5;5;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/XMLCatalogSchemaManager.java;9;9;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-server/src/test/java/org/apache/tajo/catalog/store/TestXMLCatalogSchemaManager.java;7;7;31;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/DefaultTajoCliOutputFormatter.java;1;1;31;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCli.java;2;2;31;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCliOutputFormatter.java;1;1;31;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/util/datetime/DateTimeFormat.java;1;1;31;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/querymaster/Repartitioner.java;8;8;31;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/LogicalPlanPreprocessor.java;1;1;31;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/rewrite/rules/FilterPushDownRule.java;3;3;31;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/verifier/ExprsVerifier.java;1;1;31;Hyunsik Choi
4;tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/DiskUtil.java;1;1;31;Hyunsik Choi
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/HashShuffleAppenderManager.java;4;4;31;Hyunsik Choi
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/avro/AvroAppender.java;1;1;31;Hyunsik Choi
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/parquet/ParquetAppender.java;1;1;31;Hyunsik Choi
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/rcfile/RCFile.java;1;1;31;Hyunsik Choi
4;tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/commons/GeneratorAdapter.java;1;1;31;Hyunsik Choi
4;tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/InsnList.java;2;2;31;Hyunsik Choi
4;tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/analysis/Analyzer.java;1;1;31;Hyunsik Choi
4;tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/analysis/Interpreter.java;7;7;31;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/AvgDouble.java;19;6;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/AvgFloat.java;10;2;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/AvgInt.java;11;3;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/AvgLong.java;20;7;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/Max.java;76;0;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MaxDouble.java;6;37;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MaxFloat.java;7;36;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MaxInt.java;7;37;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MaxLong.java;1;31;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MaxString.java;9;43;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/Min.java;76;0;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MinDouble.java;6;35;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MinFloat.java;6;36;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MinInt.java;7;36;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MinLong.java;1;31;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/MinString.java;6;40;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/SumDouble.java;27;7;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/SumFloat.java;7;26;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/SumInt.java;1;31;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/SumLong.java;27;7;37;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/DistinctGroupbySortAggregationExec.java;26;15;37;Keuntae Park
4;tajo-core/src/test/java/org/apache/tajo/engine/function/TestBuiltinFunctions.java;234;0;37;Keuntae Park
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestGroupByQuery.java;2;2;37;Keuntae Park
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCli.java;9;5;3;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoFileHistory.java;3;5;3;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/utils/TupleUtil.java;12;6;3;Keuntae Park
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestSortQuery.java;28;0;3;Keuntae Park
4;tajo-core/src/main/java/org/apache/tajo/master/querymaster/Query.java;1;1;2;jhkim
4;tajo-common/src/main/java/org/apache/tajo/validation/PathValidator.java;1;1;3;Jihoon Son
4;tajo-common/src/test/java/org/apache/tajo/validation/TestValidators.java;12;0;3;Jihoon Son
4;tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java;2;1;9;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/event/StageEventType.java;2;1;9;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/event/StageShuffleReportEvent.java;38;0;9;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/Query.java;1;1;9;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/QueryMasterManagerService.java;1;1;9;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/Stage.java;145;61;9;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/StageState.java;1;0;9;jhkim
4;tajo-core/src/test/java/org/apache/tajo/engine/eval/TestPredicates.java;0;7;5;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/planner/TestQueryValidation.java;6;0;5;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/verifier/PreLogicalPlanVerifier.java;14;4;5;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/HBaseTestClusterUtil.java;2;0;4;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java;1;2;9;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/rule/SelfDiagnosisRuleDefinition.java;2;1;9;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/rule/SelfDiagnosisRuleEngine.java;15;7;9;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/validation/PathListValidator.java;63;0;9;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/validation/PathValidator.java;3;1;9;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/validation/Validators.java;4;0;9;Hyunsik Choi
4;tajo-common/src/test/java/org/apache/tajo/validation/TestValidators.java;30;0;9;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/worker/rule/ConnectivityCheckerRuleForTajoWorker.java;2;1;9;Hyunsik Choi
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/json/JsonLineDeserializer.java;20;19;4;jhkim
4;tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/storage/TestDelimitedTextFile.java;17;0;4;jhkim
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestSortQuery.java;39;0;4;Hyunsik Choi
4;tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/BaseTupleComparator.java;2;2;4;Hyunsik Choi
4;tajo-storage/tajo-storage-common/src/test/java/org/apache/tajo/storage/TestTupleComparator.java;87;2;4;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/ByteBufInputChannel.java;0;4;5;jhkim
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/ByteBufLineReader.java;40;28;5;jhkim
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/DelimitedLineReader.java;3;4;5;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/storage/TestLineReader.java;35;8;5;jhkim
4;tajo-client/src/main/java/org/apache/tajo/client/QueryClient.java;2;0;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/client/QueryClientImpl.java;7;1;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/client/SessionConnection.java;33;0;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/client/TajoClientUtil.java;2;1;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/jdbc/FetchResultSet.java;1;0;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/jdbc/TajoMemoryResultSet.java;4;1;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/jdbc/TajoResultSet.java;2;0;72;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/jdbc/TajoResultSetBase.java;29;9;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/OverridableConf.java;5;2;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;2;2;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;2;0;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java;7;18;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/datum/Datum.java;1;1;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/datum/DatumFactory.java;40;17;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/json/TimeZoneGsonSerdeAdapter.java;40;0;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/storage/StorageConstants.java;19;3;72;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/util/datetime/DateTimeUtil.java;11;12;72;Hyunsik Choi
4;tajo-common/src/test/java/org/apache/tajo/datum/TestTimestampDatum.java;3;4;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/AvgDouble.java;0;3;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/datetime/CurrentDate.java;17;3;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/datetime/DatePartFromTime.java;17;3;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/datetime/DatePartFromTimestamp.java;16;2;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/datetime/ToCharTimestamp.java;14;4;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/datetime/ToTimestampText.java;14;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/string/BTrim.java;3;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/string/LTrim.java;3;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/string/Lpad.java;3;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/string/RTrim.java;3;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/string/RegexpReplace.java;3;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/function/string/Rpad.java;3;1;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/json/CoreGsonHelper.java;2;0;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/query/QueryContext.java;2;2;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/QueryTestCaseBase.java;8;0;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/TajoTestingCluster.java;3;0;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/eval/ExprTestBase.java;37;22;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/eval/TestIntervalType.java;23;23;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/eval/TestSQLDateTimeTypes.java;6;12;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/eval/TestSQLExpression.java;37;30;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/function/TestConditionalExpressions.java;8;8;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/function/TestDateTimeFunctions.java;115;71;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestSelectQuery.java;46;4;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestSortQuery.java;8;15;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/jdbc/TestResultSet.java;3;10;72;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/jdbc/TestTajoJdbc.java;0;6;72;Hyunsik Choi
4;tajo-jdbc/src/main/java/org/apache/tajo/jdbc/TajoMetaDataResultSet.java;2;0;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/ExprAnnotator.java;62;34;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/LogicalPlanner.java;8;0;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/expr/CastEval.java;25;3;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/expr/GeneralFunctionEval.java;6;2;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/function/GeneralFunction.java;3;1;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/serder/EvalTreeProtoDeserializer.java;4;3;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/serder/EvalTreeProtoSerializer.java;3;0;72;Hyunsik Choi
